RestaurantName,OpenHours
Kushi Tsuru,11:30-21:00
Osakaya Restaurant,11:30-21:00
The Stinking Rose,9:00-22:00
McCormick & Kuleto's,11:30-23:00
Mifune Restaurant,11:00-22:00
The Cheesecake Factory,11:00-23:00
New Delhi Indian Restaurant,11:00-17:30
Iroha Restaurant,11:00-17:30
Rose Pistola,9:00-22:00
Alioto's Restaurant,11:00-23:00
Canton Seafood & Dim Sum Restaurant,10:30-22:30
All Season Restaurant,10:00-21:30
Bombay Indian Restaurant,11:30-21:00
Sam's Grill & Seafood Restaurant,11:30-21:00
2G Japanese Brasserie,11:30-23:00
Restaurant Lulu,11:30-23:00
Sudachi,9:00-22:00
Hanuri,11:00-23:00
Herbivore,11:00-17:30
Penang Garden,11:00-17:30
John's Grill,9:00-22:00
Quan Bac,11:30-23:00
Bamboo Restaurant,9:00-22:00
Burger Bar,11:00-23:00
Blu Restaurant,11:00-17:30
Naan 'N' Curry,11:00-17:30
Shanghai China Restaurant,9:00-22:00
Tres,11:30-23:00
Isobune Sushi,9:00-22:00
Viva Pizza Restaurant,11:00-23:00
Far East Cafe,11:00-17:30
Parallel 37,11:00-17:30
Bai Thong Thai Cuisine,9:00-22:00
Alhamra,11:30-23:00
A-1 Cafe Restaurant,9:00-22:00
Nick's Lighthouse,11:00-23:00
Paragon Restaurant & Bar,11:00-17:30
Chili Lemon Garlic,11:00-17:30
Bow Hon Restaurant,9:00-22:00
San Dong House,11:30-23:00
Thai Stick Restaurant,9:00-22:00
Cesario's,11:00-23:00
Colombini Italian Cafe Bistro,11:00-17:30
Sabella & La Torre,11:00-17:30
Soluna Cafe and Lounge,9:00-22:00
Tong Palace,11:30-23:00
India Garden Restaurant,9:00-22:00
Sapporo-Ya Japanese Restaurant,11:00-23:00
Santorini's Mediterranean Cuisine,11:00-17:30
Kyoto Sushi,11:00-17:30
Marrakech Moroccan Restaurant,9:00-22:00